gene_name	gene_id	#TX	#CAP_exons	#CAP_bases	#GC_exons	#GC_bases	%bases_ovl	%UTR_bases_ovl	%exon_bases_ovl
OR4F5	ENSG00000186092.4	1	1	941	1	918	1.0	1.0	1.0
FO538757.3	ENSG00000279928.1	1	0	0	3	718	0.0	0.0	0.0
FO538757.2	ENSG00000279457.2	3	0	0	14	1982	0.0	0.0	0.0
OR4F29	ENSG00000278566.1	1	1	961	1	939	1.0	1.0	1.0
OR4F16	ENSG00000273547.1	1	1	951	1	939	1.0	1.0	1.0
SAMD11	ENSG00000187634.9	17	12	2512	11	3214	0.5301804604853765	0.3828045035823951	0.5945462673223066
NOC2L	ENSG00000188976.9	6	19	2769	19	5539	0.41505686947102366	0.17863720073664824	0.43782696177062375
KLHL17	ENSG00000187961.12	5	12	2286	9	3395	0.6073637702503681	0.33602771362586603	0.7002767892447608
PLEKHN1	ENSG00000187583.9	5	15	2276	15	2833	0.7105541828450406	0.019310344827586208	0.948292220113852
PERM1	ENSG00000187642.8	3	5	2224	4	3424	0.6191588785046729	0.0913604766633565	0.839056681836988
HES4	ENSG00000188290.9	4	3	951	2	1118	0.4785330948121646	0.21070234113712374	0.6324786324786325
ISG15	ENSG00000187608.7	3	2	661	2	942	0.6464968152866242	0.28846153846153844	1.0
AGRN	ENSG00000188157.12	10	26	9590	37	10758	0.5779884736939952	0.21926671459381739	0.6312586740685385
RNF223	ENSG00000237330.2	1	1	771	1	1902	0.40536277602523657	0.02077922077922078	1.0
C1orf159	ENSG00000131591.16	19	12	715	5	6322	0.08335969629863967	0.21736490588949606	0.3626373626373626
TTLL10	ENSG00000162571.12	7	13	2369	15	3943	0.4920111590159777	0.044859813084112146	0.6585450748346676
TNFRSF18	ENSG00000186891.12	4	5	1082	5	1370	0.7197080291970803	0.5686274509803921	0.7958287596048299
TNFRSF4	ENSG00000186827.9	3	6	1477	5	1721	0.7024985473561882	0.0759493670886076	0.7811799850634802
SDF4	ENSG00000078808.15	7	7	1317	5	4709	0.22361435548948821	0.2504201680672269	0.21454958795112247
B3GALT6	ENSG00000176022.4	1	1	1006	1	2777	0.3622614332012964	0.010614525139664804	1.0
FAM132A	ENSG00000184163.3	5	8	1014	5	1794	0.358974358974359	0.06153846153846154	0.38382619191309597
UBE2J2	ENSG00000160087.19	20	9	820	7	4712	0.23259762308998302	0.11599471249173827	0.4412811387900356
SCNN1D	ENSG00000162572.18	9	17	2574	14	4025	0.578136645962733	0.12534664448141986	0.9455445544554455
ACAP3	ENSG00000131584.17	13	27	4025	24	8809	0.32092178453854014	0.04519368723098996	0.37275792312879297
PUSL1	ENSG00000169972.10	5	7	1679	5	2489	0.5206910405785456	0.9417989417989417	0.4452865940312648
CPSF3L	ENSG00000127054.17	51	21	2946	6	8220	0.1864963503649635	0.33663366336633666	0.17236789564754426
CPTP	ENSG00000224051.5	3	2	668	3	2556	0.2554773082942097	0.005780346820809248	0.9831546707503829
TAS1R3	ENSG00000169962.4	1	6	2665	6	3433	0.7500728226041363	0.021664766248574687	1.0
DVL1	ENSG00000107404.16	4	14	2716	14	3486	0.5817555938037866	0.0389948006932409	0.8503430531732419
MXRA8	ENSG00000162576.15	10	12	1972	7	3622	0.25897294312534513	0.1295005807200929	0.40789473684210525
AURKAIP1	ENSG00000175756.12	6	3	773	2	1669	0.3313361294188137	0.03690036900369004	0.639018691588785
CCNL2	ENSG00000221978.10	20	16	1869	14	6850	0.24175182481751825	0.3178984861976848	0.22682032477737035
MRPL20	ENSG00000242485.4	6	4	490	3	2788	0.1958393113342898	0.08	0.23467369808833224
ANKRD65	ENSG00000235098.7	5	3	1224	3	2644	0.4546142208774584	0.2366331392271043	1.0
TMEM88B	ENSG00000205116.3	1	2	656	2	492	1.0	1.0	1.0
VWA1	ENSG00000179403.11	4	3	724	2	5065	0.28035538005923	0.18219749652294853	0.844207723035952
ATAD3C	ENSG00000215915.8	3	12	1682	12	3976	0.3631790744466801	0.07958872810357959	0.9148148148148149
ATAD3B	ENSG00000160072.18	5	16	2348	13	7682	0.24095287685498568	0.15674603174603174	0.21057242990654207
ATAD3A	ENSG00000197785.12	7	17	2755	17	3069	0.7552948843271424	0.26755852842809363	0.9567219152854513
TMEM240	ENSG00000205090.7	3	4	688	4	1380	0.42971014492753623	0.08488372093023255	1.0
SSU72	ENSG00000160075.11	4	5	1099	5	6925	0.1396389891696751	0.0047748976807639835	0.37435694499406413
AL645728.1	ENSG00000279244.1	1	0	0	3	276	0.0		0.0
C1orf233	ENSG00000228594.3	1	1	683	1	2085	0.3275779376498801	0.0035536602700781805	1.0
MIB2	ENSG00000197530.11	32	19	3378	12	8767	0.3029542602942854	0.4040609137055838	0.31379415347137635
MMP23B	ENSG00000189409.11	12	8	2424	7	2714	0.5519528371407516	0.3927392739273927	0.5977229601518027
CDK11B	ENSG00000248333.6	10	22	2927	27	3811	0.6552086066649173	0.2345679012345679	0.7835616438356164
SLC35E2B	ENSG00000189339.10	5	9	1643	8	8395	0.1636688505062537	0.016407750043637634	0.48012003000750186
CDK11A	ENSG00000008128.21	23	20	3043	13	4701	0.40736013614124655	0.13870029097963144	0.4828337874659401
SLC35E2	ENSG00000215790.5	3	6	1183	7	3264	0.2864583333333333	0.08041743400859423	0.6584766584766585
NADK	ENSG00000008130.14	17	15	2058	14	5570	0.30394973070017955	0.05344164172723386	0.5055091819699499
GNB1	ENSG00000078369.16	10	9	1052	8	6417	0.17952314165497896	0.07356507679870655	0.26825127334465193
